id,name,description,facultyId
0730e17f-b6ab-4daf-9dae-2bbc82dd8a14,DEPARTMENT OF HUMAN KINETICS AND HEALTH EDUCATION,"Studies physical education, sports science, and health promotion for individual and community wellbeing.",087dae4c-dfa3-4e7e-b2b9-067736227327
07f43455-47d5-494b-bc6a-5ce5a1d7ef1f,DEPARTMENT OF HEALTH POLICY AND MANAGEMENT,"Studies healthcare systems, policy development, and efficient management of healthcare organizations.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
0e69aeeb-93c1-400a-a75b-43c7fdb085ca,DEPARTMENT OF COMMUNICATION AND LANGUAGE ARTS,"Focuses on verbal and non-verbal communication, media studies, linguistics, and rhetorical theories.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
13afbf8e-0e3d-4296-93b7-5f6141ce3629,DEPARTMENT OF ARABIC AND ISLAMIC STUDIES,"Studies Arabic language, literature, Islamic history, theology, and cultural traditions of the Arab and Islamic worlds.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
16d7cfc1-eeb7-47ce-bdd2-a05019817396,DEPARTMENT OF RELIGIOUS STUDIES,"Examines religious traditions, texts, practices, and their cultural and historical contexts from an academic perspective.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
19b006b3-5bcf-48c3-bc6a-8c18bd24a192,DEPARTMENT OF AGRONOMY,"Focuses on soil and crop management, plant breeding, and sustainable farming practices to improve crop production and soil health.",79e3a633-0fd3-4044-b40d-7c33c71c6fcf
1adbe5ae-0411-4fc0-85d5-28efca1c33e7,DEPARTMENT OF MATHEMATICS,"Studies numbers, quantity, structure, space, patterns, and change through abstract concepts and their applications.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
1bd94b7a-7dcb-462d-a9c0-20fb8045ec84,DEPARTMENT OF COMPUTER SCIENCE,"Studies the theory, design, development, and application of computer systems and software.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
1df363d1-f1b5-44b7-9006-44996a41894d,DEPARTMENT OF ELECTRICAL AND ELECTRONIC ENGINEERING,"Focuses on designing, developing, and maintaining electrical systems, electronic devices, and communication technologies.",8b1f791e-297e-4fc0-ad11-b0f1a7359138
1ff10f06-5b40-468f-b35f-6f57e9306691,DEPARTMENT OF GUIDANCE AND COUNSELLING,"Trains professionals to provide psychological support, career guidance, and personal development counseling.",087dae4c-dfa3-4e7e-b2b9-067736227327
26948ac0-c68e-4350-8474-207017f10735,DEPARTMENT OF PHYSIOTHERAPY,"Provides treatment to restore movement and function affected by injury, illness, or disability through physical methods.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
28b3eb6c-6dbc-43c9-b893-a9680955f08d,DEPARTMENT OF MEDICINE,"Focuses on the diagnosis, treatment, and prevention of adult diseases through non-surgical means.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
3177c631-8711-400e-8356-635eb194cb7f,DEPARTMENT OF HISTORY,"Studies past events, societies, and civilizations to understand human development and historical patterns.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
37c499f4-f673-4580-a519-c6b2ca56b3db,DEPARTMENT OF OPHTHALMOLOGY,"Focuses on the diagnosis, treatment, and prevention of disorders and diseases of the eye and visual system.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
3d40f0af-f811-410d-8f4e-c36c43db8a05,"DEPARTMENT OF EPIDEMIOLOGY, MEDICAL STATISTICS AND ENVIRONMENTAL HEALTH (EMSEH)","Investigates patterns, causes, and effects of health and disease conditions in defined populations using statistical methods.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
411cf290-2285-4095-b771-f2a134e22f8e,DEPARTMENT OF MECHANICAL ENGINEERING,"Studies design, production, and operation of machinery, focusing on mechanics, thermodynamics, and materials.",8b1f791e-297e-4fc0-ad11-b0f1a7359138
41293349-9564-44c1-9d1b-3a658e3a1b57,DEPARTMENT OF AGRICULTURAL ECONOMICS,"Applies economic principles to agriculture, analyzing farming operations, food production, and agricultural markets and policies.",79e3a633-0fd3-4044-b40d-7c33c71c6fcf
41e2545d-1009-4933-adb4-908cd32e0b09,DEPARTMENT OF STATISTICS,"Studies the collection, analysis, interpretation, and presentation of data for decision making and research.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
48bd7200-97a2-4398-ad7a-417bee95e8b4,DEPARTMENT OF PSYCHIATRY,"Specializes in the diagnosis, treatment, and prevention of mental, emotional, and behavioral disorders.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
5127641f-ecc9-4538-9a91-fca1cc7c72b4,DEPARTMENT OF INDUSTRIAL AND PRODUCTION ENGINEERING,Optimizes complex systems and processes in manufacturing and service industries for efficiency and productivity.,8b1f791e-297e-4fc0-ad11-b0f1a7359138
53001b50-55b7-4410-be68-1dbc39ce92bc,DEPARTMENT OF PAEDIATRICS,"Specializes in the medical care of infants, children, and adolescents, focusing on their development and diseases.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
56a3a823-40e4-4f62-8930-39337f2e70d3,DEPARTMENT OF SURGERY,"Focuses on operative procedures for treating injuries, diseases, and deformities through invasive and minimally invasive techniques.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
5dd88ffc-e11c-4cef-90c7-4429a7b35e13,DEPARTMENT OF TEACHER EDUCATION,"Prepares students to become effective teachers through pedagogical theories, teaching methodologies, and classroom management.",087dae4c-dfa3-4e7e-b2b9-067736227327
5de222a9-95df-43a3-8fb5-1bed8594e668,DEPARTMENT OF MICROBIOLOGY,"Studies microscopic organisms like bacteria, viruses, fungi, and protozoa, and their effects on other living organisms.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
61892764-cff3-4120-b084-c525baa2cde6,DEPARTMENT OF PHYSICS,"Explores matter, energy, force, motion, and the fundamental laws that govern the natural world and universe.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
6575b7b4-39c5-4c63-a15d-0cf5ef30500b,DEPARTMENT OF SOCIOLOGY,"Examines human society, social relationships, interactions, cultures, and institutions through empirical investigation.",36f114f0-a876-497d-b586-e0f9ba7d2127
6dd22322-93c3-435f-ba87-0dafd5728b04,DEPARTMENT OF GEOLOGY,"Examines Earth's materials, processes, history, and evolution through the study of rocks, minerals, and landforms.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
753d69be-0509-410d-b043-fa132a404205,"DEPARTMENT OF VETERINARY PHYSIOLOGY, BIOCHEMISTRY AND PHARMACOLOGY","Studies animal body functions, biochemical processes, and the effects of drugs on animal systems for veterinary applications.",246e36b5-c4b0-4746-90e2-dc03dd450864
85766ffc-cf2e-47d5-b1f0-b533ae9e87d2,DEPARTMENT OF ADULT EDUCATION,"Focuses on educational programs for adult learners, lifelong learning, and continuing professional development.",087dae4c-dfa3-4e7e-b2b9-067736227327
868aac50-2e2e-4472-b532-d089761c0aae,DEPARTMENT OF PHYSIOLOGY,"Studies how living organisms and their parts function, examining bodily systems and their mechanisms.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
8c8e5441-6ede-45be-bb65-4c39803707c1,DEPARTMENT OF THEATRE ARTS,"Covers dramatic theory, acting, directing, stagecraft, and performance studies for theatrical productions.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
97aa3d2c-2731-4add-b055-0373d7387ea2,DEPARTMENT OF ANIMAL SCIENCE,"Studies the biology, care, and management of domesticated animals with a focus on livestock production, animal breeding, and nutrition.",79e3a633-0fd3-4044-b40d-7c33c71c6fcf
9aa69834-eebb-4473-a20a-f2dd1bb8bf8d,DEPARTMENT OF PHARMACEUTICS AND INDUSTRIAL PHARMACY,"Focuses on drug formulation, manufacture, quality control, and pharmaceutical technology in industrial settings.",5fba3653-9705-4654-918c-bbaf26b671ac
ac13177d-9e19-46e2-967e-db9d151f1e6e,DEPARTMENT OF MUSIC,"Explores music theory, composition, performance, and history across various cultures and genres.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
ac36405a-f861-4712-8fad-5fe971742daa,DEPARTMENT OF PREVENTIVE MEDICINE AND PRIMARY CARE,"Focuses on disease prevention, health promotion, and primary healthcare delivery at community levels.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
ad9e5d0b-745f-4138-9e6b-072e5cc74e49,DEPARTMENT OF GEOGRAPHY,"Studies Earth's landscapes, environments, and human interactions with geographic spaces and places.",36f114f0-a876-497d-b586-e0f9ba7d2127
b842b670-86e8-4018-84f2-1deef48753c0,DEPARTMENT OF HUMAN NUTRITION,"Studies how nutrients in food affect human health, metabolism, and the relationship between diet and disease prevention.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
b8df7a12-c9a1-44d3-bdb3-328b35e46923,DEPARTMENT OF ECONOMICS,"Analyzes production, distribution, and consumption of goods and services through economic theories and modeling.",36f114f0-a876-497d-b586-e0f9ba7d2127
bc626cf3-f698-46b9-831f-16fe6edbae06,DEPARTMENT OF BOTANY,"Studies plants, their structure, growth, reproduction, metabolism, diseases, and relation to the environment.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
bf5e4a84-6be1-4980-8925-297ac4744e4f,DEPARTMENT OF HEALTH PROMOTION AND EDUCATION,Focuses on empowering individuals and communities to increase control over and improve their health through education.,d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
c1805aef-3295-4848-9484-fc57a276ec4f,DEPARTMENT OF EUROPEAN STUDIES,"Examines European languages, literature, politics, history, and cultural traditions across different European nations.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
c6de24ea-419a-4415-8166-df5de95194f8,DEPARTMENT OF OBSTETRICS AND GYNAECOLOGY,"Specializes in women's reproductive health, pregnancy care, childbirth, and gynecological conditions.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
c7f9b276-9aa2-4c20-a5ec-c7a1d77f8ef8,DEPARTMENT OF ZOOLOGY,"Focuses on the study of animals, their structure, embryology, evolution, classification, habits, and distribution.",ef5326f4-a47b-4751-a6a6-d253fcc4246e
d3c501bd-ba07-4b4e-b03a-ada6b21ca45f,DEPARTMENT OF BIOCHEMISTRY,"Studies chemical processes and substances in living organisms, focusing on molecular mechanisms of cellular activities.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
d6df6ce9-b51d-478a-adae-79621274dfdd,DEPARTMENT OF FOREST RESOURCES MANAGEMENT,"Deals with the sustainable management of forests, conservation of biodiversity, and utilization of forest resources.",79e3a633-0fd3-4044-b40d-7c33c71c6fcf
db13a9c0-4d0c-4328-ab83-95a449d1bc7f,DEPARTMENT OF PHILOSOPHY,"Examines fundamental questions about existence, knowledge, values, reason, mind, and language through critical reasoning.",7e1a222f-230f-4c32-bfc4-0ef6a6782b5a
de9bf556-cc63-4d3f-9905-3e9825959b8a,INSTITUTE OF ADVANCED MEDICAL RESEARCH AND TRAINING,Conducts high-level medical research and provides specialized training for medical practitioners and researchers.,d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
fd3340f8-5e41-4fea-9e50-129440cd7439,DEPARTMENT OF RADIOTHERAPY,"Specializes in the use of radiation for cancer treatment, managing radiation protocols and patient care.",d8021d82-386f-4dfd-bdbb-94b9c5ec6f42
fdc93812-7992-44af-b5f4-7a2da53a4853,DEPARTMENT OF PSYCHOLOGY,"Studies human behavior, mental processes, and their relationship to brain functions and social environments.",36f114f0-a876-497d-b586-e0f9ba7d2127